"","","","E","","","","E","","","","E","","","","E"
"Neorileya","ashmeadi","","JR","Neorileya","ashmeadi","","JR","Neorileya","ashmeadi","","JR","Neorileya","ashmeadi","","JR"
"Neorileya","lynetteae","","JR","Neorileya","lynetteae","","JR","Neorileya","lynetteae","","JR","Neorileya","lynetteae","","JR"
"Nesolynx","cinctiventris","","HT","Nesolynx","cinctiventris","","HT","Nesolynx","cinctiventris","","HT","Nesolynx","cinctiventris","","HT"
"Oligosita","","","WOO","Oligosita","","","WOO","Oligosita","","","WOO","Oligosita","","","WOO"
"Oligosita","americana","","WOO","Oligosita","americana","","WOO","Oligosita","americana","","WOO","Oligosita","americana","","WOO"
"Oligosita","balcluthae","","WOO","Oligosita","balcluthae","","WOO","Oligosita","balcluthae","","WOO","Oligosita","balcluthae","","WOO"
"Oligosita","clarimaculosa","","WOO","Oligosita","clarimaculosa","","WOO","Oligosita","clarimaculosa","","WOO","Oligosita","clarimaculosa","","WOO"
"Oligosita","desantisi","","WOO","Oligosita","desantisi","","WOO","Oligosita","desantisi","","WOO","Oligosita","desantisi","","WOO"
"Oligosita","engelharti","","WOO","Oligosita","engelharti","","WOO","Oligosita","engelharti","","WOO","Oligosita","engelharti","","WOO"
"Oligosita","giraulti","","WOO","Oligosita","giraulti","","WOO","Oligosita","giraulti","","WOO","Oligosita","giraulti","","WOO"
"Oligosita","impudica","","WOO","Oligosita","impudica","","WOO","Oligosita","impudica","","WOO","Oligosita","impudica","","WOO"
"Oligosita","itoi","","WOO","Oligosita","itoi","","WOO","Oligosita","itoi","","WOO","Oligosita","itoi","","WOO"
"Oligosita","longipennis","","WOO","Oligosita","longipennis","","WOO","Oligosita","longipennis","","WOO","Oligosita","longipennis","","WOO"
"Oligosita","minuta","","WOO","Oligosita","minuta","","WOO","Oligosita","minuta","","WOO","Oligosita","minuta","","WOO"
"Oligosita","naias","","WOO","Oligosita","naias","","WOO","Oligosita","naias","","WOO","Oligosita","naias","","WOO"
"Oligosita","pallida","","WOO","Oligosita","pallida","","WOO","Oligosita","pallida","","WOO","Oligosita","pallida","","WOO"
"Oligosita","sanguinea","","WOO","Oligosita","sanguinea","","WOO","Oligosita","sanguinea","","WOO","Oligosita","sanguinea","","WOO"
"Oligosita","subfasciatipennis","","WOO","Oligosita","subfasciatipennis","","WOO","Oligosita","subfasciatipennis","","WOO","Oligosita","subfasciatipennis","","WOO"
"Oligositoides","semicinctum","","WTT","Oligositoides","semicinctum","","WTT","Oligositoides","semicinctum","","WTT","Oligositoides","semicinctum","","WTT"
"Oobius","","","EE","Oobius","","","EE","Oobius","","","EE","Oobius","","","EE"
"Oobius","abditus","","EE","Oobius","abditus","","EE","Oobius","abditus","","EE","Oobius","abditus","","EE"
"Oobius","agrili","","EE","Oobius","agrili","","EE","Oobius","agrili","","EE","Oobius","agrili","","EE"
"Oobius","batocerae","","EE","Oobius","batocerae","","EE","Oobius","batocerae","","EE","Oobius","batocerae","","EE"
"Oobius","buprestidis","","EE","Oobius","buprestidis","","EE","Oobius","buprestidis","","EE","Oobius","buprestidis","","EE"
"Oobius","capnodiobius","","EE","Oobius","capnodiobius","","EE","Oobius","capnodiobius","","EE","Oobius","capnodiobius","","EE"
"Oobius","coombsi","","EE","Oobius","coombsi","","EE","Oobius","coombsi","","EE","Oobius","coombsi","","EE"
"Oobius","depressus","","EE","Oobius","depressus","","EE","Oobius","depressus","","EE","Oobius","depressus","","EE"
"Oobius","funestus","","EE","Oobius","funestus","","EE","Oobius","funestus","","EE","Oobius","funestus","","EE"
"Oobius","longoi","","EE","Oobius","longoi","","EE","Oobius","longoi","","EE","Oobius","longoi","","EE"
"Oobius","minusculus","","EE","Oobius","minusculus","","EE","Oobius","minusculus","","EE","Oobius","minusculus","","EE"
"Oobius","primorskyensis","","EE","Oobius","primorskyensis","","EE","Oobius","primorskyensis","","EE","Oobius","primorskyensis","","EE"
"Oobius","rudnevi","","EE","Oobius","rudnevi","","EE","Oobius","rudnevi","","EE","Oobius","rudnevi","","EE"
"Oobius","striatus","","EE","Oobius","striatus","","EE","Oobius","striatus","","EE","Oobius","striatus","","EE"
"Oobius","taybekovi","","EE","Oobius","taybekovi","","EE","Oobius","taybekovi","","EE","Oobius","taybekovi","","EE"
"Oobius","whiteorum","","EE","Oobius","whiteorum","","EE","Oobius","whiteorum","","EE","Oobius","whiteorum","","EE"
"Oobius","xystrocerae","","EE","Oobius","xystrocerae","","EE","Oobius","xystrocerae","","EE","Oobius","xystrocerae","","EE"
"Oobius","zahaikevitshi","","EE","Oobius","zahaikevitshi","","EE","Oobius","zahaikevitshi","","EE","Oobius","zahaikevitshi","","EE"
"Ooctonus","","","MY","Ooctonus","","","MY","Ooctonus","","","MY","Ooctonus","","","MY"
"Ooctonus","aphrophorae","","MY","Ooctonus","aphrophorae","","MY","Ooctonus","aphrophorae","","MY","Ooctonus","aphrophorae","","MY"
"Ooctonus","orientalis","","MY","Ooctonus","orientalis","","MY","Ooctonus","orientalis","","MY","Ooctonus","orientalis","","MY"
"Ooderella","americana","","IE","Ooderella","americana","","IE","Ooderella","americana","","IE","Ooderella","americana","","IE"
"Ooencyrtus","","","EE","Ooencyrtus","","","EE","Ooencyrtus","","","EE","Ooencyrtus","","","EE"
"Ooencyrtus","acedes","","EE","Ooencyrtus","acedes","","EE","Ooencyrtus","acedes","","EE","Ooencyrtus","acedes","","EE"
"Ooencyrtus","afer","","EE","Ooencyrtus","afer","","EE","Ooencyrtus","afer","","EE","Ooencyrtus","afer","","EE"
"Ooencyrtus","agastus","","EE","Ooencyrtus","agastus","","EE","Ooencyrtus","agastus","","EE","Ooencyrtus","agastus","","EE"
"Ooencyrtus","albicrus","","EE","Ooencyrtus","albicrus","","EE","Ooencyrtus","albicrus","","EE","Ooencyrtus","albicrus","","EE"
"Ooencyrtus","albisetosus","","EE","Ooencyrtus","albisetosus","","EE","Ooencyrtus","albisetosus","","EE","Ooencyrtus","albisetosus","","EE"
"Ooencyrtus","alboantennatus","","EE","Ooencyrtus","alboantennatus","","EE","Ooencyrtus","alboantennatus","","EE","Ooencyrtus","alboantennatus","","EE"
"Ooencyrtus","anasae","","EE","Ooencyrtus","anasae","","EE","Ooencyrtus","anasae","","EE","Ooencyrtus","anasae","","EE"
"Ooencyrtus","angolensis","","EE","Ooencyrtus","angolensis","","EE","Ooencyrtus","angolensis","","EE","Ooencyrtus","angolensis","","EE"
"Ooencyrtus","ascalaphi","","EE","Ooencyrtus","ascalaphi","","EE","Ooencyrtus","ascalaphi","","EE","Ooencyrtus","ascalaphi","","EE"
"Ooencyrtus","azenus","","EE","Ooencyrtus","azenus","","EE","Ooencyrtus","azenus","","EE","Ooencyrtus","azenus","","EE"
"Ooencyrtus","bambeyi","","EE","Ooencyrtus","bambeyi","","EE","Ooencyrtus","bambeyi","","EE","Ooencyrtus","bambeyi","","EE"
"Ooencyrtus","blastothricoide","","EE","Ooencyrtus","blastothricoide","","EE","Ooencyrtus","blastothricoide","","EE","Ooencyrtus","blastothricoide","","EE"
"Ooencyrtus","boreas","","EE","Ooencyrtus","boreas","","EE","Ooencyrtus","boreas","","EE","Ooencyrtus","boreas","","EE"
"Ooencyrtus","californicus","","EE","Ooencyrtus","californicus","","EE","Ooencyrtus","californicus","","EE","Ooencyrtus","californicus","","EE"
"Ooencyrtus","caligo","","EE","Ooencyrtus","caligo","","EE","Ooencyrtus","caligo","","EE","Ooencyrtus","caligo","","EE"
"Ooencyrtus","camerounensis","","EE","Ooencyrtus","camerounensis","","EE","Ooencyrtus","camerounensis","","EE","Ooencyrtus","camerounensis","","EE"
"Ooencyrtus","castneus","","EE","Ooencyrtus","castneus","","EE","Ooencyrtus","castneus","","EE","Ooencyrtus","castneus","","EE"
"Ooencyrtus","caurus","","EE","Ooencyrtus","caurus","","EE","Ooencyrtus","caurus","","EE","Ooencyrtus","caurus","","EE"
"Ooencyrtus","ceres","","EE","Ooencyrtus","ceres","","EE","Ooencyrtus","ceres","","EE","Ooencyrtus","ceres","","EE"
"Ooencyrtus","cirinae","","EE","Ooencyrtus","cirinae","","EE","Ooencyrtus","cirinae","","EE","Ooencyrtus","cirinae","","EE"
"Ooencyrtus","clavatus","","EE","Ooencyrtus","clavatus","","EE","Ooencyrtus","clavatus","","EE","Ooencyrtus","clavatus","","EE"
"Ooencyrtus","clisiocampae","","EE","Ooencyrtus","clisiocampae","","EE","Ooencyrtus","clisiocampae","","EE","Ooencyrtus","clisiocampae","","EE"
"Ooencyrtus","corbetti","","EE","Ooencyrtus","corbetti","","EE","Ooencyrtus","corbetti","","EE","Ooencyrtus","corbetti","","EE"
"Ooencyrtus","corei","","EE","Ooencyrtus","corei","","EE","Ooencyrtus","corei","","EE","Ooencyrtus","corei","","EE"
"Ooencyrtus","crepana","","EE","Ooencyrtus","crepana","","EE","Ooencyrtus","crepana","","EE","Ooencyrtus","crepana","","EE"
"Ooencyrtus","cybele","","EE","Ooencyrtus","cybele","","EE","Ooencyrtus","cybele","","EE","Ooencyrtus","cybele","","EE"
"Ooencyrtus","daritshevae","","EE","Ooencyrtus","daritshevae","","EE","Ooencyrtus","daritshevae","","EE","Ooencyrtus","daritshevae","","EE"
"Ooencyrtus","demodoci","","EE","Ooencyrtus","demodoci","","EE","Ooencyrtus","demodoci","","EE","Ooencyrtus","demodoci","","EE"
"Ooencyrtus","dichromus","","EE","Ooencyrtus","dichromus","","EE","Ooencyrtus","dichromus","","EE","Ooencyrtus","dichromus","","EE"
"Ooencyrtus","dictyoplocae","","EE","Ooencyrtus","dictyoplocae","","EE","Ooencyrtus","dictyoplocae","","EE","Ooencyrtus","dictyoplocae","","EE"
"Ooencyrtus","dione","","EE","Ooencyrtus","dione","","EE","Ooencyrtus","dione","","EE","Ooencyrtus","dione","","EE"
"Ooencyrtus","endymion","","EE","Ooencyrtus","endymion","","EE","Ooencyrtus","endymion","","EE","Ooencyrtus","endymion","","EE"
"Ooencyrtus","ennomophagus","","EE","Ooencyrtus","ennomophagus","","EE","Ooencyrtus","ennomophagus","","EE","Ooencyrtus","ennomophagus","","EE"
"Ooencyrtus","epilachnae","","EE","Ooencyrtus","epilachnae","","EE","Ooencyrtus","epilachnae","","EE","Ooencyrtus","epilachnae","","EE"
"Ooencyrtus","euthaliae","","EE","Ooencyrtus","euthaliae","","EE","Ooencyrtus","euthaliae","","EE","Ooencyrtus","euthaliae","","EE"
"Ooencyrtus","euxoae","","EE","Ooencyrtus","euxoae","","EE","Ooencyrtus","euxoae","","EE","Ooencyrtus","euxoae","","EE"
"Ooencyrtus","eversi","","EE","Ooencyrtus","eversi","","EE","Ooencyrtus","eversi","","EE","Ooencyrtus","eversi","","EE"
"Ooencyrtus","ferdowsii","","EE","Ooencyrtus","ferdowsii","","EE","Ooencyrtus","ferdowsii","","EE","Ooencyrtus","ferdowsii","","EE"
"Ooencyrtus","ferrierei","","EE","Ooencyrtus","ferrierei","","EE","Ooencyrtus","ferrierei","","EE","Ooencyrtus","ferrierei","","EE"
"Ooencyrtus","flavipterus","","EE","Ooencyrtus","flavipterus","","EE","Ooencyrtus","flavipterus","","EE","Ooencyrtus","flavipterus","","EE"
"Ooencyrtus","fulvipes","","EE","Ooencyrtus","fulvipes","","EE","Ooencyrtus","fulvipes","","EE","Ooencyrtus","fulvipes","","EE"
"Ooencyrtus","gemma","","EE","Ooencyrtus","gemma","","EE","Ooencyrtus","gemma","","EE","Ooencyrtus","gemma","","EE"
"Ooencyrtus","gonoceri","","EE","Ooencyrtus","gonoceri","","EE","Ooencyrtus","gonoceri","","EE","Ooencyrtus","gonoceri","","EE"
"Ooencyrtus","gravis","","EE","Ooencyrtus","gravis","","EE","Ooencyrtus","gravis","","EE","Ooencyrtus","gravis","","EE"
"Ooencyrtus","hera","","EE","Ooencyrtus","hera","","EE","Ooencyrtus","hera","","EE","Ooencyrtus","hera","","EE"
"Ooencyrtus","hercle","","EE","Ooencyrtus","hercle","","EE","Ooencyrtus","hercle","","EE","Ooencyrtus","hercle","","EE"
"Ooencyrtus","icarus","","EE","Ooencyrtus","icarus","","EE","Ooencyrtus","icarus","","EE","Ooencyrtus","icarus","","EE"
"Ooencyrtus","ilion","","EE","Ooencyrtus","ilion","","EE","Ooencyrtus","ilion","","EE","Ooencyrtus","ilion","","EE"
"Ooencyrtus","iranicus","","EE","Ooencyrtus","iranicus","","EE","Ooencyrtus","iranicus","","EE","Ooencyrtus","iranicus","","EE"
"Ooencyrtus","isabellae","","EE","Ooencyrtus","isabellae","","EE","Ooencyrtus","isabellae","","EE","Ooencyrtus","isabellae","","EE"
"Ooencyrtus","iulus","","EE","Ooencyrtus","iulus","","EE","Ooencyrtus","iulus","","EE","Ooencyrtus","iulus","","EE"
"Ooencyrtus","ixion","","EE","Ooencyrtus","ixion","","EE","Ooencyrtus","ixion","","EE","Ooencyrtus","ixion","","EE"
"Ooencyrtus","jeelus","","EE","Ooencyrtus","jeelus","","EE","Ooencyrtus","jeelus","","EE","Ooencyrtus","jeelus","","EE"
"Ooencyrtus","johnsoni","","EE","Ooencyrtus","johnsoni","","EE","Ooencyrtus","johnsoni","","EE","Ooencyrtus","johnsoni","","EE"
"Ooencyrtus","keralensis","","EE","Ooencyrtus","keralensis","","EE","Ooencyrtus","keralensis","","EE","Ooencyrtus","keralensis","","EE"
"Ooencyrtus","kilinis","","EE","Ooencyrtus","kilinis","","EE","Ooencyrtus","kilinis","","EE","Ooencyrtus","kilinis","","EE"
"Ooencyrtus","kuvanae","","EE","Ooencyrtus","kuvanae","","EE","Ooencyrtus","kuvanae","","EE","Ooencyrtus","kuvanae","","EE"
"Ooencyrtus","lamborni","","EE","Ooencyrtus","lamborni","","EE","Ooencyrtus","lamborni","","EE","Ooencyrtus","lamborni","","EE"
"Ooencyrtus","latiscapus","","EE","Ooencyrtus","latiscapus","","EE","Ooencyrtus","latiscapus","","EE","Ooencyrtus","latiscapus","","EE"
"Ooencyrtus","longicauda","","EE","Ooencyrtus","longicauda","","EE","Ooencyrtus","longicauda","","EE","Ooencyrtus","longicauda","","EE"
"Ooencyrtus","longivenosus","","EE","Ooencyrtus","longivenosus","","EE","Ooencyrtus","longivenosus","","EE","Ooencyrtus","longivenosus","","EE"
"Ooencyrtus","lucens","","EE","Ooencyrtus","lucens","","EE","Ooencyrtus","lucens","","EE","Ooencyrtus","lucens","","EE"
"Ooencyrtus","lucina","","EE","Ooencyrtus","lucina","","EE","Ooencyrtus","lucina","","EE","Ooencyrtus","lucina","","EE"
"Ooencyrtus","macula","","EE","Ooencyrtus","macula","","EE","Ooencyrtus","macula","","EE","Ooencyrtus","macula","","EE"
"Ooencyrtus","major","","EE","Ooencyrtus","major","","EE","Ooencyrtus","major","","EE","Ooencyrtus","major","","EE"
"Ooencyrtus","manii","","EE","Ooencyrtus","manii","","EE","Ooencyrtus","manii","","EE","Ooencyrtus","manii","","EE"
"Ooencyrtus","marcelloi","","EE","Ooencyrtus","marcelloi","","EE","Ooencyrtus","marcelloi","","EE","Ooencyrtus","marcelloi","","EE"
"Ooencyrtus","masii","","EE","Ooencyrtus","masii","","EE","Ooencyrtus","masii","","EE","Ooencyrtus","masii","","EE"
"Ooencyrtus","metallicus","","EE","Ooencyrtus","metallicus","","EE","Ooencyrtus","metallicus","","EE","Ooencyrtus","metallicus","","EE"
"Ooencyrtus","mevalbelus","","EE","Ooencyrtus","mevalbelus","","EE","Ooencyrtus","mevalbelus","","EE","Ooencyrtus","mevalbelus","","EE"
"Ooencyrtus","midas","","EE","Ooencyrtus","midas","","EE","Ooencyrtus","midas","","EE","Ooencyrtus","midas","","EE"
"Ooencyrtus","minor","","EE","Ooencyrtus","minor","","EE","Ooencyrtus","minor","","EE","Ooencyrtus","minor","","EE"
"Ooencyrtus","neustriae","","EE","Ooencyrtus","neustriae","","EE","Ooencyrtus","neustriae","","EE","Ooencyrtus","neustriae","","EE"
"Ooencyrtus","nezarae","","EE","Ooencyrtus","nezarae","","EE","Ooencyrtus","nezarae","","EE","Ooencyrtus","nezarae","","EE"
"Ooencyrtus","nigerrimus","","EE","Ooencyrtus","nigerrimus","","EE","Ooencyrtus","nigerrimus","","EE","Ooencyrtus","nigerrimus","","EE"
"Ooencyrtus","notodontae","","EE","Ooencyrtus","notodontae","","EE","Ooencyrtus","notodontae","","EE","Ooencyrtus","notodontae","","EE"
"Ooencyrtus","noxa","","EE","Ooencyrtus","noxa","","EE","Ooencyrtus","noxa","","EE","Ooencyrtus","noxa","","EE"
"Ooencyrtus","obscurus","","EE","Ooencyrtus","obscurus","","EE","Ooencyrtus","obscurus","","EE","Ooencyrtus","obscurus","","EE"
"Ooencyrtus","ovidivorus","","EE","Ooencyrtus","ovidivorus","","EE","Ooencyrtus","ovidivorus","","EE","Ooencyrtus","ovidivorus","","EE"
"Ooencyrtus","pallidipes","","EE","Ooencyrtus","pallidipes","","EE","Ooencyrtus","pallidipes","","EE","Ooencyrtus","pallidipes","","EE"
"Ooencyrtus","papilionidis","","EE","Ooencyrtus","papilionidis","","EE","Ooencyrtus","papilionidis","","EE","Ooencyrtus","papilionidis","","EE"
"Ooencyrtus","papilionis","","EE","Ooencyrtus","papilionis","","EE","Ooencyrtus","papilionis","","EE","Ooencyrtus","papilionis","","EE"
"Ooencyrtus","parties","","EE","Ooencyrtus","parties","","EE","Ooencyrtus","parties","","EE","Ooencyrtus","parties","","EE"
"Ooencyrtus","philopapilionis","","EE","Ooencyrtus","philopapilionis","","EE","Ooencyrtus","philopapilionis","","EE","Ooencyrtus","philopapilionis","","EE"
"Ooencyrtus","phongi","","EE","Ooencyrtus","phongi","","EE","Ooencyrtus","phongi","","EE","Ooencyrtus","phongi","","EE"
"Ooencyrtus","phymatidivorus","","EE","Ooencyrtus","phymatidivorus","","EE","Ooencyrtus","phymatidivorus","","EE","Ooencyrtus","phymatidivorus","","EE"
"Ooencyrtus","pindarus","","EE","Ooencyrtus","pindarus","","EE","Ooencyrtus","pindarus","","EE","Ooencyrtus","pindarus","","EE"
"Ooencyrtus","pinicola","","EE","Ooencyrtus","pinicola","","EE","Ooencyrtus","pinicola","","EE","Ooencyrtus","pinicola","","EE"
"Ooencyrtus","pinicola","@","EE","Ooencyrtus","pinicola","@","EE","Ooencyrtus","pinicola","@","EE","Ooencyrtus","pinicola","@","EE"
"Ooencyrtus","pistaciae","","EE","Ooencyrtus","pistaciae","","EE","Ooencyrtus","pistaciae","","EE","Ooencyrtus","pistaciae","","EE"
"Ooencyrtus","pityocampae","","EE","Ooencyrtus","pityocampae","","EE","Ooencyrtus","pityocampae","","EE","Ooencyrtus","pityocampae","","EE"
"Ooencyrtus","plautus","","EE","Ooencyrtus","plautus","","EE","Ooencyrtus","plautus","","EE","Ooencyrtus","plautus","","EE"
"Ooencyrtus","podontiae","","EE","Ooencyrtus","podontiae","","EE","Ooencyrtus","podontiae","","EE","Ooencyrtus","podontiae","","EE"
"Ooencyrtus","populicola","","EE","Ooencyrtus","populicola","","EE","Ooencyrtus","populicola","","EE","Ooencyrtus","populicola","","EE"
"Ooencyrtus","protohermesis","","EE","Ooencyrtus","protohermesis","","EE","Ooencyrtus","protohermesis","","EE","Ooencyrtus","protohermesis","","EE"
"Ooencyrtus","rigemae","","EE","Ooencyrtus","rigemae","","EE","Ooencyrtus","rigemae","","EE","Ooencyrtus","rigemae","","EE"
"Ooencyrtus","rozenus","","EE","Ooencyrtus","rozenus","","EE","Ooencyrtus","rozenus","","EE","Ooencyrtus","rozenus","","EE"
"Ooencyrtus","salicinus","","EE","Ooencyrtus","salicinus","","EE","Ooencyrtus","salicinus","","EE","Ooencyrtus","salicinus","","EE"
"Ooencyrtus","semirame","","EE","Ooencyrtus","semirame","","EE","Ooencyrtus","semirame","","EE","Ooencyrtus","semirame","","EE"
"Ooencyrtus","senegalensis","","EE","Ooencyrtus","senegalensis","","EE","Ooencyrtus","senegalensis","","EE","Ooencyrtus","senegalensis","","EE"
"Ooencyrtus","shahbazi","","EE","Ooencyrtus","shahbazi","","EE","Ooencyrtus","shahbazi","","EE","Ooencyrtus","shahbazi","","EE"
"Ooencyrtus","sinis","","EE","Ooencyrtus","sinis","","EE","Ooencyrtus","sinis","","EE","Ooencyrtus","sinis","","EE"
"Ooencyrtus","smirnovi","","EE","Ooencyrtus","smirnovi","","EE","Ooencyrtus","smirnovi","","EE","Ooencyrtus","smirnovi","","EE"
"Ooencyrtus","solidus","","EE","Ooencyrtus","solidus","","EE","Ooencyrtus","solidus","","EE","Ooencyrtus","solidus","","EE"
"Ooencyrtus","sorkula","","EE","Ooencyrtus","sorkula","","EE","Ooencyrtus","sorkula","","EE","Ooencyrtus","sorkula","","EE"
"Ooencyrtus","submetallicus","","EE","Ooencyrtus","submetallicus","","EE","Ooencyrtus","submetallicus","","EE","Ooencyrtus","submetallicus","","EE"
"Ooencyrtus","talaba","","EE","Ooencyrtus","talaba","","EE","Ooencyrtus","talaba","","EE","Ooencyrtus","talaba","","EE"
"Ooencyrtus","tardus","","EE","Ooencyrtus","tardus","","EE","Ooencyrtus","tardus","","EE","Ooencyrtus","tardus","","EE"
"Ooencyrtus","telenomicida","","EE","Ooencyrtus","telenomicida","","EE","Ooencyrtus","telenomicida","","EE","Ooencyrtus","telenomicida","","EE"
"Ooencyrtus","uniformis","","EE","Ooencyrtus","uniformis","","EE","Ooencyrtus","uniformis","","EE","Ooencyrtus","uniformis","","EE"
"Ooencyrtus","utetheisae","","EE","Ooencyrtus","utetheisae","","EE","Ooencyrtus","utetheisae","","EE","Ooencyrtus","utetheisae","","EE"
"Ooencyrtus","venatorius","","EE","Ooencyrtus","venatorius","","EE","Ooencyrtus","venatorius","","EE","Ooencyrtus","venatorius","","EE"
"Ooencyrtus","vinulae","","EE","Ooencyrtus","vinulae","","EE","Ooencyrtus","vinulae","","EE","Ooencyrtus","vinulae","","EE"
"Ooencyrtus","xylon","","EE","Ooencyrtus","xylon","","EE","Ooencyrtus","xylon","","EE","Ooencyrtus","xylon","","EE"
"Ooencyrtus","yoshidai","","EE","Ooencyrtus","yoshidai","","EE","Ooencyrtus","yoshidai","","EE","Ooencyrtus","yoshidai","","EE"
"Ooencyrtus","yux","","EE","Ooencyrtus","yux","","EE","Ooencyrtus","yux","","EE","Ooencyrtus","yux","","EE"
"Ooencyrtus","zameen","","EE","Ooencyrtus","zameen","","EE","Ooencyrtus","zameen","","EE","Ooencyrtus","zameen","","EE"
"Ooencyrtus","zezo","","EE","Ooencyrtus","zezo","","EE","Ooencyrtus","zezo","","EE","Ooencyrtus","zezo","","EE"
"Ooencyrtus","zoeae","","EE","Ooencyrtus","zoeae","","EE","Ooencyrtus","zoeae","","EE","Ooencyrtus","zoeae","","EE"
"Oomara","locustae","","PZD","Oomara","locustae","","PZD","Oomara","locustae","","PZD","Oomara","locustae","","PZD"
"Oomyzus","galerucivorus","","HT","Oomyzus","galerucivorus","","HT","Oomyzus","galerucivorus","","HT","Oomyzus","galerucivorus","","HT"
"Oomyzus","gallerucae","","HT","Oomyzus","gallerucae","","HT","Oomyzus","gallerucae","","HT","Oomyzus","gallerucae","","HT"
"Oomyzus","tanaceti","","HT","Oomyzus","tanaceti","","HT","Oomyzus","tanaceti","","HT","Oomyzus","tanaceti","","HT"
"Oomyzus","tanakai","","HT","Oomyzus","tanakai","","HT","Oomyzus","tanakai","","HT","Oomyzus","tanakai","","HT"
"Oopristus","erganicus","","VO","Oopristus","erganicus","","VO","Oopristus","erganicus","","VO","Oopristus","erganicus","","VO"
"Oopristus","tayfursokmeni","","VO","Oopristus","tayfursokmeni","","VO","Oopristus","tayfursokmeni","","VO","Oopristus","tayfursokmeni","","VO"
"Oopristus","turkestanicus","","VO","Oopristus","turkestanicus","","VO","Oopristus","turkestanicus","","VO","Oopristus","turkestanicus","","VO"
"Oozetetes","nyctiboraphagus","","IE","Oozetetes","nyctiboraphagus","","IE","Oozetetes","nyctiboraphagus","","IE","Oozetetes","nyctiboraphagus","","IE"
"Ophelimus","oviparopsis","","HO","Ophelimus","oviparopsis","","HO","Ophelimus","oviparopsis","","HO","Ophelimus","oviparopsis","","HO"
"Ophioneurus","kurdjumovi","","WTT","Ophioneurus","kurdjumovi","","WTT","Ophioneurus","kurdjumovi","","WTT","Ophioneurus","kurdjumovi","","WTT"
"Ophioneurus","longiclavatus","","WTT","Ophioneurus","longiclavatus","","WTT","Ophioneurus","longiclavatus","","WTT","Ophioneurus","longiclavatus","","WTT"
"Ophioneurus","signatus","","WTT","Ophioneurus","signatus","","WTT","Ophioneurus","signatus","","WTT","Ophioneurus","signatus","","WTT"
"Ovidoencyrtus","pallidipes","","EE","Ovidoencyrtus","pallidipes","","EE","Ovidoencyrtus","pallidipes","","EE","Ovidoencyrtus","pallidipes","","EE"
"Pachyneuron","","","PZD","Pachyneuron","","","PZD","Pachyneuron","","","PZD","Pachyneuron","","","PZD"
"Pachyneuron","muscarum","","PZD","Pachyneuron","muscarum","","PZD","Pachyneuron","muscarum","","PZD","Pachyneuron","muscarum","","PZD"
"Pachyneuron","solitarium","","PZD","Pachyneuron","solitarium","","PZD","Pachyneuron","solitarium","","PZD","Pachyneuron","solitarium","","PZD"
"Palachia","mangalae","","VPA","Palachia","mangalae","","VPA","Palachia","mangalae","","VPA","Palachia","mangalae","","VPA"
"Palaeoneura","","","MY","Palaeoneura","","","MY","Palaeoneura","","","MY","Palaeoneura","","","MY"
"Palaeoneura","elisabethae","","MY","Palaeoneura","elisabethae","","MY","Palaeoneura","elisabethae","","MY","Palaeoneura","elisabethae","","MY"
"Palaeoneura","gracile","","MY","Palaeoneura","gracile","","MY","Palaeoneura","gracile","","MY","Palaeoneura","gracile","","MY"
"Palaeoneura","hishimoni","","MY","Palaeoneura","hishimoni","","MY","Palaeoneura","hishimoni","","MY","Palaeoneura","hishimoni","","MY"
"Palaeoneura","lepida","","MY","Palaeoneura","lepida","","MY","Palaeoneura","lepida","","MY","Palaeoneura","lepida","","MY"
"Palaeoneura","saga","","MY","Palaeoneura","saga","","MY","Palaeoneura","saga","","MY","Palaeoneura","saga","","MY"
"Palmistichus","ixtlilxochitli","","HT","Palmistichus","ixtlilxochitli","","HT","Palmistichus","ixtlilxochitli","","HT","Palmistichus","ixtlilxochitli","","HT"
"Palmon","greeni","","VPO","Palmon","greeni","","VPO","Palmon","greeni","","VPO","Palmon","greeni","","VPO"
"Palmon","insolens","","VPO","Palmon","insolens","","VPO","Palmon","insolens","","VPO","Palmon","insolens","","VPO"
"Palmon","longistigmus","","VPO","Palmon","longistigmus","","VPO","Palmon","longistigmus","","VPO","Palmon","longistigmus","","VPO"
"Palmon","orchesticus","","VPO","Palmon","orchesticus","","VPO","Palmon","orchesticus","","VPO","Palmon","orchesticus","","VPO"
"Palmon","polyspilotae","","VPO","Palmon","polyspilotae","","VPO","Palmon","polyspilotae","","VPO","Palmon","polyspilotae","","VPO"
"Palmon","sphodromantidis","","VPO","Palmon","sphodromantidis","","VPO","Palmon","sphodromantidis","","VPO","Palmon","sphodromantidis","","VPO"
"Panstenon","","","PZD","Panstenon","","","PZD","Panstenon","","","PZD","Panstenon","","","PZD"
"Panstenon","oxylus","","PZD","Panstenon","oxylus","","PZD","Panstenon","oxylus","","PZD","Panstenon","oxylus","","PZD"
"Paracentrobia","","","WOP","Paracentrobia","","","WOP","Paracentrobia","","","WOP","Paracentrobia","","","WOP"
"Paracentrobia","acuminata","","WOP","Paracentrobia","acuminata","","WOP","Paracentrobia","acuminata","","WOP","Paracentrobia","acuminata","","WOP"
"Paracentrobia","ajmerensis","","WOP","Paracentrobia","ajmerensis","","WOP","Paracentrobia","ajmerensis","","WOP","Paracentrobia","ajmerensis","","WOP"
"Paracentrobia","americana","","WOP","Paracentrobia","americana","","WOP","Paracentrobia","americana","","WOP","Paracentrobia","americana","","WOP"
